date,region,product,category,sales_rep,revenue,cost,quantity,customer_id,profit
2024-01-01,North,USB-C Hub,Peripherals,Bob Smith,263.29,113.86,5,CUST-1163,149.43
2024-01-01,North,Keyboard Mech,Displays,Carol Davis,129.57,65.26,4,CUST-1167,64.31
2024-01-01,Central,"Monitor 27""",Peripherals,David Wilson,296.28,134.62,23,CUST-1131,161.66
2024-01-01,East,USB-C Hub,Accessories,Emma Brown,359.35,212.12,22,CUST-1219,147.23
2024-01-02,South,Wireless Mouse,Accessories,David Wilson,107.45,63.43,24,CUST-1181,44.02
2024-01-02,Central,USB-C Hub,Electronics,Frank Miller,263.75,133.7,21,CUST-1087,130.05
2024-01-03,North,Laptop Pro,Electronics,Emma Brown,448.0,304.26,24,CUST-1056,143.74
2024-01-03,Central,Laptop Pro,Displays,Alice Johnson,209.65,124.41,18,CUST-1215,85.24
2024-01-03,South,"Monitor 27""",Electronics,Alice Johnson,88.57,53.72,4,CUST-1121,34.85
2024-01-04,South,Wireless Mouse,Electronics,Carol Davis,527.9,288.73,10,CUST-1110,239.17
2024-01-04,North,Wireless Mouse,Electronics,Frank Miller,187.83,124.73,2,CUST-1289,63.1
2024-01-04,North,USB-C Hub,Peripherals,David Wilson,119.48,59.07,11,CUST-1190,60.41
2024-01-05,North,"Monitor 27""",Displays,Emma Brown,331.76,191.46,5,CUST-1019,140.3
2024-01-05,West,"Monitor 27""",Accessories,Carol Davis,270.23,110.55,9,CUST-1024,159.68
2024-01-05,Central,Wireless Mouse,Peripherals,Frank Miller,259.74,165.12,25,CUST-1094,94.62
2024-01-05,West,USB-C Hub,Peripherals,Emma Brown,74.71,50.12,11,CUST-1296,24.59
2024-01-05,West,"Monitor 27""",Accessories,David Wilson,70.65,44.66,22,CUST-1076,25.99
2024-01-05,East,Keyboard Mech,Electronics,Carol Davis,172.56,93.82,6,CUST-1061,78.74
2024-01-06,East,"Monitor 27""",Peripherals,Frank Miller,171.08,116.24,7,CUST-1045,54.84
2024-01-06,South,Keyboard Mech,Electronics,Emma Brown,394.24,272.21,5,CUST-1294,122.03
2024-01-07,South,Wireless Mouse,Peripherals,Carol Davis,472.28,298.08,5,CUST-1155,174.2
2024-01-07,West,USB-C Hub,Accessories,Emma Brown,454.44,200.63,16,CUST-1067,253.81
2024-01-08,South,Wireless Mouse,Accessories,David Wilson,639.37,406.11,18,CUST-1131,233.26
2024-01-09,West,Wireless Mouse,Displays,Emma Brown,170.1,84.19,14,CUST-1071,85.91
2024-01-10,South,Laptop Pro,Electronics,Carol Davis,205.57,89.14,3,CUST-1192,116.43
2024-01-10,East,"Monitor 27""",Electronics,David Wilson,148.58,82.08,1,CUST-1173,66.5
2024-01-11,East,"Monitor 27""",Accessories,David Wilson,139.06,66.69,19,CUST-1283,72.37
2024-01-12,South,Wireless Mouse,Electronics,Alice Johnson,52.92,34.04,18,CUST-1293,18.88
2024-01-12,East,USB-C Hub,Electronics,Frank Miller,644.06,360.71,22,CUST-1160,283.35
2024-01-12,North,USB-C Hub,Peripherals,Emma Brown,189.11,95.96,15,CUST-1279,93.15
2024-01-12,South,"Monitor 27""",Electronics,David Wilson,15914.65,7957.33,51,CUST-1020,7957.32
2024-01-12,East,Laptop Pro,Electronics,Emma Brown,503.54,217.77,2,CUST-1139,285.77
2024-01-12,South,Wireless Mouse,Peripherals,Alice Johnson,169.86,,24,CUST-1021,
2024-01-13,East,USB-C Hub,Peripherals,Bob Smith,299.93,163.84,1,CUST-1286,136.09
2024-01-13,South,"Monitor 27""",Electronics,David Wilson,233.34,144.91,23,CUST-1288,88.43
2024-01-14,East,USB-C Hub,Electronics,Emma Brown,529.98,233.9,21,CUST-1103,296.08
2024-01-14,North,Wireless Mouse,Displays,Carol Davis,70.93,48.35,10,CUST-1236,22.58
2024-01-14,North,USB-C Hub,Peripherals,Carol Davis,104.17,44.43,4,CUST-1197,59.74
2024-01-14,East,Wireless Mouse,Electronics,Carol Davis,69.91,37.93,15,CUST-1096,31.98
2024-01-14,South,Laptop Pro,Electronics,Emma Brown,67.01,45.84,22,CUST-1008,21.17
2024-01-15,West,Wireless Mouse,Peripherals,Alice Johnson,1120.53,560.26,177,CUST-1155,560.27
2024-01-15,West,USB-C Hub,Accessories,Bob Smith,1054.23,596.32,3,CUST-1198,457.91
2024-01-17,North,USB-C Hub,Electronics,Emma Brown,351.49,227.3,16,CUST-1228,124.19
2024-01-17,Central,"Monitor 27""",Peripherals,Frank Miller,169.12,107.22,3,CUST-1146,61.9
2024-01-17,North,Wireless Mouse,Peripherals,Emma Brown,419.62,182.49,16,CUST-1294,237.13
2024-01-18,North,Wireless Mouse,Accessories,Bob Smith,155.02,85.1,20,CUST-1029,69.92
2024-01-18,East,USB-C Hub,Displays,Emma Brown,164.02,85.98,5,CUST-1011,78.04
2024-01-20,South,Wireless Mouse,Electronics,Frank Miller,50.22,34.56,7,CUST-1250,15.66
2024-01-20,Central,Laptop Pro,Displays,Bob Smith,310.36,208.33,17,CUST-1290,102.03
2024-01-21,South,Wireless Mouse,Peripherals,Alice Johnson,294.25,166.68,14,CUST-1190,127.57
2024-01-22,South,Laptop Pro,Peripherals,Frank Miller,272.26,137.57,8,CUST-1047,134.69
2024-01-22,North,Laptop Pro,Peripherals,Alice Johnson,120.17,79.4,6,CUST-1295,40.77
2024-01-23,South,Laptop Pro,Accessories,Bob Smith,667.0,270.02,3,CUST-1017,396.98
2024-01-24,North,Laptop Pro,Displays,David Wilson,125.01,66.06,25,CUST-1007,58.95
2024-01-25,South,"Monitor 27""",Electronics,Frank Miller,136.5,65.6,4,CUST-1272,70.9
2024-01-25,East,"Monitor 27""",Peripherals,David Wilson,632.55,328.4,18,CUST-1038,304.15
2024-01-26,South,"Monitor 27""",Accessories,David Wilson,172.25,,23,CUST-1129,
2024-01-26,South,Wireless Mouse,Electronics,David Wilson,52.4,26.64,6,CUST-1085,25.76
2024-01-27,North,Wireless Mouse,Peripherals,David Wilson,,13.91,5,CUST-1171,
2024-01-27,West,USB-C Hub,Accessories,Frank Miller,195.15,132.33,25,CUST-1068,62.82
2024-01-28,South,"Monitor 27""",Displays,Carol Davis,178.36,85.18,24,CUST-1227,93.18
2024-01-28,East,Wireless Mouse,Displays,David Wilson,242.46,143.01,15,CUST-1292,99.45
2024-01-29,West,Laptop Pro,Electronics,Bob Smith,458.16,215.81,24,CUST-1139,242.35
2024-01-29,North,Laptop Pro,Peripherals,Alice Johnson,1402.24,623.05,4,CUST-1099,779.19
2024-01-30,North,Laptop Pro,Displays,Bob Smith,298.22,177.31,7,CUST-1193,120.91
2024-01-31,South,USB-C Hub,Accessories,Frank Miller,386.19,223.83,20,CUST-1000,162.36
2024-02-02,Central,Wireless Mouse,Electronics,Alice Johnson,311.03,163.52,1,CUST-1015,147.51
2024-02-03,South,"Monitor 27""",Displays,Emma Brown,164.26,68.26,1,CUST-1017,96.0
2024-02-03,East,Laptop Pro,Peripherals,Alice Johnson,255.25,104.72,16,CUST-1065,150.53
2024-02-03,Central,Keyboard Mech,Displays,David Wilson,155.78,98.46,13,CUST-1280,57.32
2024-02-05,South,USB-C Hub,Accessories,Bob Smith,253.6,156.8,6,CUST-1053,96.8
2024-02-05,West,"Monitor 27""",Peripherals,Bob Smith,64.79,35.26,19,CUST-1085,29.53
2024-02-05,North,"Monitor 27""",Electronics,Alice Johnson,82.49,45.41,13,CUST-1289,37.08
2024-02-07,East,Keyboard Mech,Displays,Frank Miller,1.22,49.76,1,CUST-1165,-48.54
2024-02-07,North,Wireless Mouse,Accessories,Emma Brown,128.71,77.22,18,CUST-1043,51.49
2024-02-07,West,Laptop Pro,Electronics,Frank Miller,353.89,237.91,5,CUST-1260,115.98
2024-02-08,North,"Monitor 27""",Electronics,Alice Johnson,90.08,51.22,6,CUST-1193,38.86
2024-02-08,West,Laptop Pro,Accessories,Frank Miller,36.59,20.32,2,CUST-1093,16.27
2024-02-08,East,USB-C Hub,Electronics,Frank Miller,124.66,70.69,10,CUST-1017,53.97
2024-02-08,Central,Laptop Pro,Peripherals,David Wilson,101.64,70.09,17,CUST-1163,31.55
2024-02-08,West,USB-C Hub,Peripherals,Frank Miller,197.81,113.68,14,CUST-1277,84.13
2024-02-09,North,USB-C Hub,Peripherals,Frank Miller,187.59,97.68,13,CUST-1014,89.91
2024-02-09,South,Keyboard Mech,Peripherals,Carol Davis,216.96,130.99,16,CUST-1219,85.97
2024-02-10,North,Keyboard Mech,Accessories,Bob Smith,113.31,66.75,2,CUST-1002,46.56
2024-02-10,South,USB-C Hub,Displays,Bob Smith,132.38,84.46,12,CUST-1211,47.92
2024-02-11,East,Laptop Pro,Displays,Carol Davis,91.53,58.78,9,CUST-1083,32.75
2024-02-11,East,Wireless Mouse,Accessories,Alice Johnson,745.47,388.06,8,CUST-1209,357.41
2024-02-11,Central,Laptop Pro,Displays,David Wilson,326.26,185.4,24,CUST-1293,140.86
2024-02-11,West,Wireless Mouse,Electronics,Frank Miller,287.78,172.83,16,CUST-1213,114.95
2024-02-11,South,Keyboard Mech,Accessories,Emma Brown,733.31,403.95,13,CUST-1115,329.36
2024-02-11,South,Laptop Pro,Accessories,Carol Davis,22.35,13.32,11,CUST-1182,9.03
2024-02-12,South,USB-C Hub,Displays,Frank Miller,,35.28,18,CUST-1145,
2024-02-13,West,USB-C Hub,Electronics,David Wilson,116.92,63.16,6,CUST-1236,53.76
2024-02-13,North,Laptop Pro,Accessories,Frank Miller,137.75,72.62,8,CUST-1210,65.13
2024-02-14,East,USB-C Hub,Electronics,David Wilson,78.2,45.75,5,CUST-1110,32.45
2024-02-15,West,"Monitor 27""",Accessories,Bob Smith,28.05,19.05,18,CUST-1104,9.0
2024-02-16,North,Keyboard Mech,Accessories,David Wilson,227.2,128.76,13,CUST-1075,98.44
2024-02-16,West,Laptop Pro,Peripherals,Bob Smith,194.67,125.58,21,CUST-1217,69.09
2024-02-17,North,"Monitor 27""",Electronics,Carol Davis,228.29,157.04,20,CUST-1179,71.25
2024-02-17,East,USB-C Hub,Electronics,Frank Miller,255.89,156.5,16,CUST-1028,99.39
2024-02-18,North,Laptop Pro,Accessories,Frank Miller,179.98,78.8,10,CUST-1287,101.18
2024-02-18,South,Laptop Pro,Displays,Carol Davis,81.04,51.81,19,CUST-1294,29.23
2024-02-19,South,USB-C Hub,Displays,Alice Johnson,119.4,79.75,10,CUST-1086,39.65
2024-02-19,West,Keyboard Mech,Accessories,Alice Johnson,570.6,258.82,1,CUST-1077,311.78
2024-02-20,West,Laptop Pro,Electronics,Bob Smith,130.79,76.2,23,CUST-1238,54.59
2024-02-20,North,"Monitor 27""",Electronics,Carol Davis,147.38,76.2,11,CUST-1208,71.18
2024-02-20,Central,Keyboard Mech,Electronics,Alice Johnson,71.16,35.07,1,CUST-1148,36.09
2024-02-21,West,Wireless Mouse,Peripherals,Frank Miller,137.47,68.11,4,CUST-1115,69.36
2024-02-21,North,Wireless Mouse,Accessories,Bob Smith,237.56,123.72,16,CUST-1054,113.84
2024-02-22,East,Laptop Pro,Accessories,Frank Miller,393.26,246.12,12,CUST-1171,147.14
2024-02-22,West,Keyboard Mech,Displays,Carol Davis,764.25,482.79,24,CUST-1137,281.46
2024-02-22,North,USB-C Hub,Displays,Emma Brown,459.99,274.21,23,CUST-1274,185.78
2024-02-23,North,Wireless Mouse,Accessories,Bob Smith,90.28,58.66,25,CUST-1195,31.62
2024-02-23,South,Keyboard Mech,Peripherals,Emma Brown,131.6,82.8,14,CUST-1207,48.8
2024-02-23,East,Laptop Pro,Accessories,David Wilson,109.55,68.24,22,CUST-1015,41.31
2024-02-23,North,Wireless Mouse,Peripherals,Carol Davis,294.07,191.07,21,CUST-1150,103.0
2024-02-24,East,Laptop Pro,Peripherals,Emma Brown,384.73,265.8,23,CUST-1212,118.93
2024-02-25,North,"Monitor 27""",Electronics,Alice Johnson,165.16,92.43,25,CUST-1251,72.73
2024-02-25,North,Laptop Pro,Accessories,Carol Davis,1.44,190.97,1,CUST-1064,-189.53
2024-02-26,North,Wireless Mouse,Peripherals,Alice Johnson,188.41,121.9,25,CUST-1271,66.51
2024-02-27,West,"Monitor 27""",Accessories,David Wilson,99.03,62.35,12,CUST-1177,36.68
2024-02-27,South,USB-C Hub,Electronics,Emma Brown,18.29,9.6,20,CUST-1283,8.69
2024-02-28,North,"Monitor 27""",Accessories,Frank Miller,136.7,60.73,25,CUST-1148,75.97
2024-02-29,North,"Monitor 27""",Peripherals,Carol Davis,119.04,59.71,10,CUST-1255,59.33
2024-02-29,East,Keyboard Mech,Electronics,David Wilson,144.6,93.06,22,CUST-1113,51.54
2024-02-29,East,Wireless Mouse,Displays,Bob Smith,270.64,140.08,12,CUST-1236,130.56
2024-02-29,Central,"Monitor 27""",Displays,David Wilson,81.06,39.27,17,CUST-1079,41.79
2024-02-29,West,Laptop Pro,Electronics,David Wilson,164.86,82.72,17,CUST-1261,82.14
2024-03-01,East,Keyboard Mech,Electronics,Bob Smith,2180.53,1101.07,23,CUST-1174,1079.46
2024-03-01,South,USB-C Hub,Peripherals,David Wilson,148.42,96.73,2,CUST-1127,51.69
2024-03-01,South,Laptop Pro,Peripherals,Alice Johnson,380.63,221.65,7,CUST-1060,158.98
2024-03-01,West,Wireless Mouse,Accessories,Bob Smith,1393.92,905.88,14,CUST-1090,488.04
2024-03-02,East,Laptop Pro,Peripherals,Frank Miller,140.73,90.57,10,CUST-1002,50.16
2024-03-02,Central,USB-C Hub,Electronics,Bob Smith,274.16,178.4,22,CUST-1244,95.76
2024-03-02,West,"Monitor 27""",Peripherals,Alice Johnson,118.54,73.99,16,CUST-1251,44.55
2024-03-03,North,Wireless Mouse,Accessories,Frank Miller,355.34,150.95,21,CUST-1026,204.39
2024-03-03,North,Laptop Pro,Electronics,Bob Smith,54.49,33.03,21,CUST-1076,21.46
2024-03-03,East,USB-C Hub,Peripherals,David Wilson,376.71,196.64,11,CUST-1083,180.07
2024-03-04,East,Laptop Pro,Peripherals,David Wilson,326.51,216.01,23,CUST-1004,110.5
2024-03-05,North,Wireless Mouse,Electronics,Emma Brown,458.78,,10,CUST-1138,
2024-03-05,,Wireless Mouse,Accessories,Alice Johnson,699.68,417.27,1,CUST-1213,282.41
2024-03-06,South,Wireless Mouse,Displays,David Wilson,428.84,284.97,11,CUST-1295,143.87
2024-03-06,East,Wireless Mouse,Accessories,Alice Johnson,328.93,138.66,20,CUST-1292,190.27
2024-03-07,Central,"Monitor 27""",Accessories,David Wilson,1080.53,607.63,21,CUST-1242,472.9
2024-03-08,North,Laptop Pro,Accessories,Emma Brown,295.18,189.48,22,CUST-1174,105.7
2024-03-08,Central,Wireless Mouse,Accessories,Frank Miller,287.85,133.82,18,CUST-1259,154.03
2024-03-09,East,"Monitor 27""",Accessories,Frank Miller,193.88,107.91,23,CUST-1226,85.97
2024-03-09,Central,Laptop Pro,Peripherals,David Wilson,259.21,139.41,20,CUST-1230,119.8
2024-03-09,North,Laptop Pro,Peripherals,David Wilson,136.16,88.4,2,CUST-1078,47.76
2024-03-09,Central,Keyboard Mech,Electronics,Carol Davis,134.83,82.62,17,CUST-1284,52.21
2024-03-10,East,Keyboard Mech,Displays,Alice Johnson,,84.66,17,CUST-1087,
2024-03-12,East,"Monitor 27""",Accessories,Bob Smith,369.78,221.14,6,CUST-1286,148.64
2024-03-12,Central,USB-C Hub,Accessories,Frank Miller,129.86,54.11,18,CUST-1077,75.75
2024-03-13,West,USB-C Hub,Electronics,Carol Davis,216.29,139.35,17,CUST-1122,76.94
2024-03-13,North,"Monitor 27""",Electronics,David Wilson,132.44,57.37,20,CUST-1075,75.07
2024-03-13,South,Laptop Pro,Accessories,Frank Miller,341.5,180.2,8,CUST-1062,161.3
2024-03-13,East,"Monitor 27""",Electronics,David Wilson,108.56,70.51,17,CUST-1130,38.05
2024-03-13,West,Wireless Mouse,Peripherals,Carol Davis,315.52,146.52,15,CUST-1232,169.0
2024-03-14,North,Laptop Pro,Displays,Alice Johnson,223.29,92.1,6,CUST-1044,131.19
2024-03-14,East,Laptop Pro,Peripherals,Emma Brown,309.23,150.72,13,CUST-1104,158.51
2024-03-16,North,Keyboard Mech,Peripherals,Bob Smith,,240.82,11,CUST-1113,
2024-03-16,South,USB-C Hub,Electronics,Emma Brown,308.54,172.22,6,CUST-1015,136.32
2024-03-18,South,Wireless Mouse,Electronics,Bob Smith,702.93,321.0,5,CUST-1055,381.93
2024-03-21,Central,"Monitor 27""",Displays,Carol Davis,529.11,268.19,15,CUST-1203,260.92
2024-03-22,North,Laptop Pro,Accessories,Alice Johnson,70.08,28.91,18,CUST-1055,41.17
2024-03-22,West,Laptop Pro,Electronics,David Wilson,258.83,140.88,8,CUST-1023,117.95
2024-03-22,South,"Monitor 27""",Accessories,Alice Johnson,235.94,106.38,1,CUST-1026,129.56
2024-03-22,Central,Laptop Pro,Accessories,David Wilson,389.84,248.89,4,CUST-1107,140.95
2024-03-22,South,Laptop Pro,Accessories,Carol Davis,658.64,325.58,4,CUST-1141,333.06
2024-03-23,Central,USB-C Hub,Accessories,Frank Miller,96.13,39.19,13,CUST-1175,56.94
2024-03-24,West,Laptop Pro,Electronics,Emma Brown,566.13,253.3,17,CUST-1082,312.83
2024-03-24,East,Laptop Pro,Electronics,David Wilson,81.81,48.81,8,CUST-1192,33.0
2024-03-24,West,Keyboard Mech,Electronics,Bob Smith,183.34,118.73,25,CUST-1200,64.61
2024-03-24,Central,"Monitor 27""",Electronics,Alice Johnson,281.04,157.43,22,CUST-1007,123.61
2024-03-24,East,USB-C Hub,Peripherals,David Wilson,,210.26,19,CUST-1201,
2024-03-24,South,"Monitor 27""",Electronics,Emma Brown,45.15,25.64,10,CUST-1049,19.51
2024-03-26,South,Laptop Pro,Electronics,Alice Johnson,414.06,250.91,9,CUST-1118,163.15
2024-03-26,South,Wireless Mouse,Electronics,Emma Brown,92.47,55.22,23,CUST-1012,37.25
2024-03-27,East,Keyboard Mech,Displays,Emma Brown,118.86,56.06,11,CUST-1221,62.8
2024-03-27,Central,Laptop Pro,Accessories,Emma Brown,193.64,123.69,19,CUST-1068,69.95
2024-03-27,East,Laptop Pro,Peripherals,Alice Johnson,770.25,319.66,14,CUST-1001,450.59
2024-03-28,South,Laptop Pro,Displays,Alice Johnson,666.75,425.66,25,CUST-1046,241.09
2024-03-28,East,USB-C Hub,Electronics,David Wilson,610.5,360.94,3,CUST-1233,249.56
2024-03-29,South,USB-C Hub,Accessories,Frank Miller,288.51,200.59,8,CUST-1262,87.92
2024-03-29,East,"Monitor 27""",Accessories,Bob Smith,63.34,29.25,10,CUST-1078,34.09
2024-03-30,South,USB-C Hub,Electronics,Bob Smith,2050.0,1025.0,155,CUST-1116,1025.0
2024-03-30,North,Laptop Pro,Electronics,Frank Miller,452.37,262.57,24,CUST-1294,189.8
2024-04-01,South,Wireless Mouse,Peripherals,Emma Brown,998.54,634.39,17,CUST-1251,364.15
2024-04-01,North,Keyboard Mech,Displays,Bob Smith,358.24,179.33,11,CUST-1155,178.91
2024-04-01,North,Wireless Mouse,Peripherals,David Wilson,190.42,101.99,21,CUST-1201,88.43
2024-04-01,South,"Monitor 27""",Peripherals,David Wilson,1203.28,784.45,21,CUST-1074,418.83
2024-04-02,South,Laptop Pro,Displays,Alice Johnson,67.53,35.38,19,CUST-1080,32.15
2024-04-03,East,Keyboard Mech,Accessories,Emma Brown,163.47,75.05,24,CUST-1151,88.42
2024-04-03,West,USB-C Hub,Accessories,Alice Johnson,264.96,173.27,19,CUST-1109,91.69
2024-04-04,West,Wireless Mouse,Electronics,Bob Smith,407.29,189.65,4,CUST-1129,217.64
2024-04-04,Central,Wireless Mouse,Peripherals,David Wilson,151.43,61.97,19,CUST-1115,89.46
2024-04-05,,USB-C Hub,Electronics,David Wilson,55.49,34.17,20,CUST-1203,21.32
2024-04-05,West,Laptop Pro,Electronics,Bob Smith,60.23,,16,CUST-1253,
2024-04-05,East,USB-C Hub,Accessories,Bob Smith,203.95,114.49,2,CUST-1148,89.46
2024-04-05,North,"Monitor 27""",Electronics,David Wilson,301.29,122.92,20,CUST-1288,178.37
2024-04-06,West,"Monitor 27""",Electronics,Bob Smith,,92.4,12,CUST-1005,
2024-04-07,North,Wireless Mouse,Peripherals,Emma Brown,201.55,,7,CUST-1257,
2024-04-07,West,Keyboard Mech,Accessories,Carol Davis,101.18,59.97,7,CUST-1249,41.21
2024-04-07,East,Wireless Mouse,Electronics,Emma Brown,97.07,65.0,10,CUST-1114,32.07
2024-04-07,South,Laptop Pro,Electronics,Carol Davis,231.12,113.86,19,CUST-1020,117.26
2024-04-07,West,Wireless Mouse,Displays,Emma Brown,151.88,97.43,24,CUST-1031,54.45
2024-04-08,South,Wireless Mouse,Peripherals,Alice Johnson,272.91,173.18,4,CUST-1114,99.73
2024-04-08,North,Wireless Mouse,Accessories,Frank Miller,615.31,295.66,25,CUST-1133,319.65
2024-04-08,East,Keyboard Mech,Electronics,David Wilson,115.24,63.28,24,CUST-1064,51.96
2024-04-08,North,USB-C Hub,Peripherals,Alice Johnson,461.06,294.74,5,CUST-1267,166.32
2024-04-09,North,Laptop Pro,Accessories,David Wilson,523.01,260.04,1,CUST-1114,262.97
2024-04-10,South,Wireless Mouse,Electronics,Emma Brown,166.06,79.43,23,CUST-1284,86.63
2024-04-10,East,Laptop Pro,Accessories,Bob Smith,254.41,146.98,23,CUST-1070,107.43
2024-04-10,Central,Wireless Mouse,Displays,Alice Johnson,673.31,385.2,19,CUST-1063,288.11
2024-04-11,North,Wireless Mouse,Electronics,Frank Miller,282.37,113.45,2,CUST-1219,168.92
2024-04-11,East,Laptop Pro,Displays,Alice Johnson,694.46,424.76,21,CUST-1162,269.7
2024-04-12,Central,USB-C Hub,Peripherals,Frank Miller,147.95,76.7,3,CUST-1201,71.25
2024-04-12,South,Laptop Pro,Displays,Alice Johnson,410.99,264.28,16,CUST-1036,146.71
2024-04-13,South,Laptop Pro,Electronics,Bob Smith,277.75,120.56,10,CUST-1170,157.19
2024-04-13,East,USB-C Hub,Displays,Alice Johnson,71.05,30.26,21,CUST-1050,40.79
2024-04-13,North,Laptop Pro,Accessories,Bob Smith,1161.25,616.34,22,CUST-1228,544.91
2024-04-16,West,USB-C Hub,Peripherals,Alice Johnson,225.07,138.46,20,CUST-1043,86.61
2024-04-17,South,Wireless Mouse,Accessories,Alice Johnson,301.31,149.29,7,CUST-1228,152.02
2024-04-17,West,Keyboard Mech,Accessories,Alice Johnson,166.01,102.96,10,CUST-1090,63.05
2024-04-17,West,Laptop Pro,Electronics,Frank Miller,86.52,48.7,16,CUST-1005,37.82
2024-04-17,South,"Monitor 27""",Peripherals,David Wilson,169.97,76.66,22,CUST-1193,93.31
2024-04-18,East,Keyboard Mech,Accessories,Carol Davis,88.19,55.31,13,CUST-1045,32.88
2024-04-19,East,USB-C Hub,Electronics,Carol Davis,196.85,123.95,21,CUST-1293,72.9
2024-04-19,North,"Monitor 27""",Peripherals,Alice Johnson,425.42,235.54,20,CUST-1295,189.88
2024-04-20,West,Wireless Mouse,Electronics,Bob Smith,156.87,91.94,10,CUST-1016,64.93
2024-04-21,South,Laptop Pro,Electronics,David Wilson,125.4,80.01,7,CUST-1071,45.39
2024-04-21,East,Laptop Pro,Accessories,Frank Miller,992.81,694.64,24,CUST-1279,298.17
2024-04-22,East,USB-C Hub,Electronics,Alice Johnson,50.54,23.68,25,CUST-1124,26.86
2024-04-22,North,Laptop Pro,Peripherals,Carol Davis,186.84,85.82,15,CUST-1167,101.02
2024-04-22,North,USB-C Hub,Electronics,Frank Miller,102.21,66.84,5,CUST-1082,35.37
2024-04-22,North,Keyboard Mech,Accessories,David Wilson,212.75,143.84,14,CUST-1165,68.91
2024-04-22,West,"Monitor 27""",Peripherals,Alice Johnson,579.58,390.38,25,CUST-1291,189.2
2024-04-22,North,USB-C Hub,Accessories,Frank Miller,,80.61,16,CUST-1209,
2024-04-23,West,USB-C Hub,Displays,Frank Miller,1167.95,583.97,81,CUST-1164,583.98
2024-04-23,South,Laptop Pro,Peripherals,Carol Davis,303.11,122.94,15,CUST-1078,180.17
2024-04-24,Central,USB-C Hub,Peripherals,Alice Johnson,233.47,115.29,9,CUST-1105,118.18
2024-04-24,South,USB-C Hub,Displays,Bob Smith,186.15,105.69,4,CUST-1272,80.46
2024-04-25,East,"Monitor 27""",Peripherals,Frank Miller,79.48,32.22,22,CUST-1207,47.26
2024-04-25,South,Keyboard Mech,Peripherals,Frank Miller,149.58,74.11,19,CUST-1195,75.47
2024-04-25,North,Keyboard Mech,Accessories,David Wilson,364.21,186.89,7,CUST-1114,177.32
2024-04-26,East,"Monitor 27""",Peripherals,Bob Smith,143.38,61.95,25,CUST-1244,81.43
2024-04-26,South,USB-C Hub,Peripherals,Carol Davis,1027.74,513.87,108,CUST-1273,513.87
2024-04-26,East,Wireless Mouse,Electronics,Carol Davis,413.6,252.4,9,CUST-1123,161.2
2024-04-27,East,Laptop Pro,Accessories,Frank Miller,332.82,145.14,16,CUST-1146,187.68
